date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:25:46	1418/1418	---M-Z	200	added ('OK')	text/css	date:Fri,%2012%20Mar%202021%2016:58:07%20GMT	http://afia-competitions.fr/wp-content/uploads/elementor/css/post-536.css?ver=1615568287	/home/kodizh/mennadou/httrack/afia-competitions/web/images/post-536fac5.css	(from http://afia-competitions.fr/)
22:25:47	36995/36995	---M-Z	200	added ('OK')	text/css	date:Tue,%2023%20Apr%202019%2017:10:58%20GMT	http://afia-competitions.fr/wp-content/plugins/ocean-extra/assets/css/widgets.css?ver=5.7.3	/home/kodizh/mennadou/httrack/afia-competitions/web/images/widgets76f3.css	(from http://afia-competitions.fr/)
22:25:49	4091/4091	---MC-	200	added ('OK')	text/css	date:Fri,%2029%20Oct%202021%2020:25:48%20GMT	https://fonts.googleapis.com/css?family=Roboto%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic%7CRoboto+Slab%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic&ver=5.7.3	/home/kodizh/mennadou/httrack/afia-competitions/web/images/css5693.css	(from http://afia-competitions.fr/)
22:25:51	89496/89496	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2012%20Mar%202021%2013:59:22%20GMT	http://afia-competitions.fr/wp-includes/js/jquery/jquery.min.js?ver=3.5.1	/home/kodizh/mennadou/httrack/afia-competitions/web/images/jquery.min9d52.js	(from http://afia-competitions.fr/)
22:25:51	11224/11224	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2012%20Mar%202021%2013:59:22%20GMT	http://afia-competitions.fr/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	/home/kodizh/mennadou/httrack/afia-competitions/web/images/jquery-migrate.mind617.js	(from http://afia-competitions.fr/)
22:25:53	828/828	---MCZ	200	added ('OK')	text/xml	date:Fri,%2029%20Oct%202021%2020:25:52%20GMT	http://afia-competitions.fr/xmlrpc.php?rsd	/home/kodizh/mennadou/httrack/afia-competitions/web/images/xmlrpc0db0.php	(from http://afia-competitions.fr/)
22:25:53	8237/8237	---MC-	200	added ('OK')	application/json	date:Fri,%2029%20Oct%202021%2020:25:51%20GMT	http://afia-competitions.fr/wp-json/wp/v2/pages/536	/home/kodizh/mennadou/httrack/afia-competitions/web/images/536.json	(from http://afia-competitions.fr/)
22:25:53	1045/1045	---M--	200	added ('OK')	application/xml	date:Wed,%2011%20Dec%202013%2019:49:11%20GMT	http://afia-competitions.fr/wp-includes/wlwmanifest.xml	/home/kodizh/mennadou/httrack/afia-competitions/web/images/wlwmanifest.xml	(from http://afia-competitions.fr/)
22:25:55	2362/2362	---MC-	200	added ('OK')	application/json	date:Fri,%2029%20Oct%202021%2020:25:54%20GMT	http://afia-competitions.fr/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fafia-competitions.fr%2F	/home/kodizh/mennadou/httrack/afia-competitions/web/images/embed14e0.json	(from http://afia-competitions.fr/)
22:25:55	2456/2456	---MCZ	200	added ('OK')	text/xml	date:Fri,%2029%20Oct%202021%2020:25:55%20GMT	http://afia-competitions.fr/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fafia-competitions.fr%2F&format=xml	/home/kodizh/mennadou/httrack/afia-competitions/web/images/embed4052	(from http://afia-competitions.fr/)
22:25:59	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2029%20Oct%202021%2020:25:57%20GMT	http://afia-competitions.fr/2020-Introduction	/home/kodizh/mennadou/httrack/afia-competitions/web/images/2020-introduction.1a.delayed	(from http://afia-competitions.fr/)
22:26:01	39542/39542	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Oct%202021%2020:25:57%20GMT	http://afia-competitions.fr/2020-introduction/	/home/kodizh/mennadou/httrack/afia-competitions/web/html/index-7.html	(from http://afia-competitions.fr/)
22:26:02	36754/36754	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Oct%202021%2020:25:59%20GMT	http://afia-competitions.fr/2020-informations-pratiques/	/home/kodizh/mennadou/httrack/afia-competitions/web/html/index-8.html	(from http://afia-competitions.fr/)
22:26:05	30271/30271	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Oct%202021%2020:26:02%20GMT	http://afia-competitions.fr/editions-precedentes/	/home/kodizh/mennadou/httrack/afia-competitions/web/html/index-9.html	(from http://afia-competitions.fr/)
22:26:07	30212/30212	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Oct%202021%2020:26:01%20GMT	http://afia-competitions.fr/2020-Inscription	/home/kodizh/mennadou/httrack/afia-competitions/web/images/2020-inscription.1b.delayed	(from http://afia-competitions.fr/)
22:26:09	39377/39377	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Oct%202021%2020:26:05%20GMT	http://afia-competitions.fr/drivetogaether/	/home/kodizh/mennadou/httrack/afia-competitions/web/html/index-10.html	(from http://afia-competitions.fr/)
22:26:11	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2029%20Oct%202021%2020:26:09%20GMT	http://afia-competitions.fr/2020-Informations-Pratiques	/home/kodizh/mennadou/httrack/afia-competitions/web/images/2020-informations-pratiques.1c.delayed	(from http://afia-competitions.fr/)
22:26:13	160328/160328	---M--	200	added ('OK')	image/png	date:Sun,%2011%20Nov%202018%2010:06:50%20GMT	http://afia-competitions.fr/wp-content/uploads/2018/01/cropped-logo-AFIA.png	/home/kodizh/mennadou/httrack/afia-competitions/web/images/cropped-logo-afia.png	(from http://afia-competitions.fr/)
